date,service,region,team,env,cost_usd,account_id
2025-05-08,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.03,847291038472
2025-05-08,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.06,847291038472
2025-05-08,Amazon Relational Database Service,us-east-1,Database,prod,38.41,847291038472
2025-05-08,Amazon Relational Database Service,us-east-1,Database,dev,9.43,847291038472
2025-05-08,Amazon Simple Storage Service,us-west-2,Data,prod,11.98,847291038472
2025-05-08,Amazon CloudFront,global,Frontend,prod,19.46,847291038472
2025-05-08,Amazon CloudFront,global,Frontend,staging,7.0,847291038472
2025-05-08,Amazon DynamoDB,us-east-1,Backend,prod,24.61,847291038472
2025-05-09,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,47.48,847291038472
2025-05-09,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.11,847291038472
2025-05-09,Amazon Relational Database Service,us-east-1,Database,prod,35.82,847291038472
2025-05-09,Amazon Relational Database Service,us-east-1,Database,dev,9.27,847291038472
2025-05-09,Amazon Simple Storage Service,us-west-2,Data,prod,12.1,847291038472
2025-05-09,Amazon CloudFront,global,Frontend,prod,17.99,847291038472
2025-05-09,Amazon CloudFront,global,Frontend,staging,5.28,847291038472
2025-05-09,Amazon DynamoDB,us-east-1,Backend,prod,20.07,847291038472
2025-05-10,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,47.69,847291038472
2025-05-10,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.67,847291038472
2025-05-10,Amazon Relational Database Service,us-east-1,Database,prod,37.31,847291038472
2025-05-10,Amazon Relational Database Service,us-east-1,Database,dev,7.88,847291038472
2025-05-10,Amazon Simple Storage Service,us-west-2,Data,prod,11.05,847291038472
2025-05-10,Amazon CloudFront,global,Frontend,prod,15.04,847291038472
2025-05-10,Amazon CloudFront,global,Frontend,staging,4.26,847291038472
2025-05-10,Amazon DynamoDB,us-east-1,Backend,prod,20.26,847291038472
2025-05-11,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.89,847291038472
2025-05-11,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.13,847291038472
2025-05-11,Amazon Relational Database Service,us-east-1,Database,prod,30.67,847291038472
2025-05-11,Amazon Relational Database Service,us-east-1,Database,dev,7.64,847291038472
2025-05-11,Amazon Simple Storage Service,us-west-2,Data,prod,11.95,847291038472
2025-05-11,Amazon CloudFront,global,Frontend,prod,21.02,847291038472
2025-05-11,Amazon CloudFront,global,Frontend,staging,4.0,847291038472
2025-05-11,Amazon DynamoDB,us-east-1,Backend,prod,22.5,847291038472
2025-05-12,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,50.61,847291038472
2025-05-12,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.46,847291038472
2025-05-12,Amazon Relational Database Service,us-east-1,Database,prod,33.01,847291038472
2025-05-12,Amazon Relational Database Service,us-east-1,Database,dev,9.71,847291038472
2025-05-12,Amazon Simple Storage Service,us-west-2,Data,prod,10.26,847291038472
2025-05-12,Amazon CloudFront,global,Frontend,prod,10.47,847291038472
2025-05-12,Amazon CloudFront,global,Frontend,staging,5.02,847291038472
2025-05-12,Amazon DynamoDB,us-east-1,Backend,prod,22.02,847291038472
2025-05-13,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,46.41,847291038472
2025-05-13,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,12.48,847291038472
2025-05-13,Amazon Relational Database Service,us-east-1,Database,prod,33.56,847291038472
2025-05-13,Amazon Relational Database Service,us-east-1,Database,dev,7.72,847291038472
2025-05-13,Amazon Simple Storage Service,us-west-2,Data,prod,11.53,847291038472
2025-05-13,Amazon CloudFront,global,Frontend,prod,21.53,847291038472
2025-05-13,Amazon CloudFront,global,Frontend,staging,4.6,847291038472
2025-05-13,Amazon DynamoDB,us-east-1,Backend,prod,24.04,847291038472
2025-05-14,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,44.71,847291038472
2025-05-14,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.38,847291038472
2025-05-14,Amazon Relational Database Service,us-east-1,Database,prod,30.58,847291038472
2025-05-14,Amazon Relational Database Service,us-east-1,Database,dev,9.83,847291038472
2025-05-14,Amazon Simple Storage Service,us-west-2,Data,prod,13.84,847291038472
2025-05-14,Amazon CloudFront,global,Frontend,prod,20.46,847291038472
2025-05-14,Amazon CloudFront,global,Frontend,staging,7.35,847291038472
2025-05-14,Amazon DynamoDB,us-east-1,Backend,prod,20.94,847291038472
2025-05-15,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,38.94,847291038472
2025-05-15,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.74,847291038472
2025-05-15,Amazon Relational Database Service,us-east-1,Database,prod,33.13,847291038472
2025-05-15,Amazon Relational Database Service,us-east-1,Database,dev,8.09,847291038472
2025-05-15,Amazon Simple Storage Service,us-west-2,Data,prod,11.58,847291038472
2025-05-15,Amazon CloudFront,global,Frontend,prod,13.42,847291038472
2025-05-15,Amazon CloudFront,global,Frontend,staging,3.81,847291038472
2025-05-15,Amazon DynamoDB,us-east-1,Backend,prod,20.56,847291038472
2025-05-16,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,38.49,847291038472
2025-05-16,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,12.43,847291038472
2025-05-16,Amazon Relational Database Service,us-east-1,Database,prod,32.03,847291038472
2025-05-16,Amazon Relational Database Service,us-east-1,Database,dev,6.56,847291038472
2025-05-16,Amazon Simple Storage Service,us-west-2,Data,prod,12.0,847291038472
2025-05-16,Amazon CloudFront,global,Frontend,prod,20.52,847291038472
2025-05-16,Amazon CloudFront,global,Frontend,staging,4.62,847291038472
2025-05-16,Amazon DynamoDB,us-east-1,Backend,prod,22.28,847291038472
2025-05-17,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,50.47,847291038472
2025-05-17,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,18.5,847291038472
2025-05-17,Amazon Relational Database Service,us-east-1,Database,prod,34.11,847291038472
2025-05-17,Amazon Relational Database Service,us-east-1,Database,dev,8.79,847291038472
2025-05-17,Amazon Simple Storage Service,us-west-2,Data,prod,13.16,847291038472
2025-05-17,Amazon CloudFront,global,Frontend,prod,21.05,847291038472
2025-05-17,Amazon CloudFront,global,Frontend,staging,4.88,847291038472
2025-05-17,Amazon DynamoDB,us-east-1,Backend,prod,19.43,847291038472
2025-05-18,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,38.33,847291038472
2025-05-18,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.44,847291038472
2025-05-18,Amazon Relational Database Service,us-east-1,Database,prod,35.44,847291038472
2025-05-18,Amazon Relational Database Service,us-east-1,Database,dev,8.93,847291038472
2025-05-18,Amazon Simple Storage Service,us-west-2,Data,prod,14.39,847291038472
2025-05-18,Amazon CloudFront,global,Frontend,prod,16.33,847291038472
2025-05-18,Amazon CloudFront,global,Frontend,staging,5.94,847291038472
2025-05-18,Amazon DynamoDB,us-east-1,Backend,prod,23.8,847291038472
2025-05-19,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,52.22,847291038472
2025-05-19,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.63,847291038472
2025-05-19,Amazon Relational Database Service,us-east-1,Database,prod,35.8,847291038472
2025-05-19,Amazon Relational Database Service,us-east-1,Database,dev,9.01,847291038472
2025-05-19,Amazon Simple Storage Service,us-west-2,Data,prod,8.9,847291038472
2025-05-19,Amazon CloudFront,global,Frontend,prod,18.51,847291038472
2025-05-19,Amazon CloudFront,global,Frontend,staging,4.35,847291038472
