date,service,region,team,env,cost_usd,project_id
2025-05-08,Compute Engine,us-central1,Backend,prod,39.25,cloudgaze-prod-99
2025-05-08,Compute Engine,us-central1,Backend,dev,14.52,cloudgaze-prod-99
2025-05-08,Cloud SQL,us-central1,Database,prod,50.85,cloudgaze-prod-99
2025-05-08,Cloud SQL,us-central1,Database,staging,18.2,cloudgaze-prod-99
2025-05-08,Cloud Storage,us-central1,Data,prod,14.88,cloudgaze-prod-99
2025-05-08,Kubernetes Engine,europe-west1,DevOps,prod,57.21,cloudgaze-prod-99
2025-05-08,Kubernetes Engine,europe-west1,DevOps,staging,26.61,cloudgaze-prod-99
2025-05-08,BigQuery,us-central1,Data,prod,17.35,cloudgaze-prod-99
2025-05-09,Compute Engine,us-central1,Backend,prod,49.19,cloudgaze-prod-99
2025-05-09,Compute Engine,us-central1,Backend,dev,12.94,cloudgaze-prod-99
2025-05-09,Cloud SQL,us-central1,Database,prod,50.84,cloudgaze-prod-99
2025-05-09,Cloud SQL,us-central1,Database,staging,20.03,cloudgaze-prod-99
2025-05-09,Cloud Storage,us-central1,Data,prod,17.25,cloudgaze-prod-99
2025-05-09,Kubernetes Engine,europe-west1,DevOps,prod,54.07,cloudgaze-prod-99
2025-05-09,Kubernetes Engine,europe-west1,DevOps,staging,20.57,cloudgaze-prod-99
2025-05-09,BigQuery,us-central1,Data,prod,10.72,cloudgaze-prod-99
2025-05-10,Compute Engine,us-central1,Backend,prod,37.32,cloudgaze-prod-99
2025-05-10,Compute Engine,us-central1,Backend,dev,15.1,cloudgaze-prod-99
2025-05-10,Cloud SQL,us-central1,Database,prod,49.82,cloudgaze-prod-99
2025-05-10,Cloud SQL,us-central1,Database,staging,19.24,cloudgaze-prod-99
2025-05-10,Cloud Storage,us-central1,Data,prod,14.55,cloudgaze-prod-99
2025-05-10,Kubernetes Engine,europe-west1,DevOps,prod,46.43,cloudgaze-prod-99
2025-05-10,Kubernetes Engine,europe-west1,DevOps,staging,25.31,cloudgaze-prod-99
2025-05-10,BigQuery,us-central1,Data,prod,22.0,cloudgaze-prod-99
2025-05-11,Compute Engine,us-central1,Backend,prod,35.2,cloudgaze-prod-99
2025-05-11,Compute Engine,us-central1,Backend,dev,9.91,cloudgaze-prod-99
2025-05-11,Cloud SQL,us-central1,Database,prod,51.28,cloudgaze-prod-99
2025-05-11,Cloud SQL,us-central1,Database,staging,21.09,cloudgaze-prod-99
2025-05-11,Cloud Storage,us-central1,Data,prod,15.32,cloudgaze-prod-99
2025-05-11,Kubernetes Engine,europe-west1,DevOps,prod,61.13,cloudgaze-prod-99
2025-05-11,Kubernetes Engine,europe-west1,DevOps,staging,25.89,cloudgaze-prod-99
2025-05-11,BigQuery,us-central1,Data,prod,28.35,cloudgaze-prod-99
2025-05-12,Compute Engine,us-central1,Backend,prod,43.13,cloudgaze-prod-99
2025-05-12,Compute Engine,us-central1,Backend,dev,13.98,cloudgaze-prod-99
2025-05-12,Cloud SQL,us-central1,Database,prod,49.92,cloudgaze-prod-99
2025-05-12,Cloud SQL,us-central1,Database,staging,21.29,cloudgaze-prod-99
2025-05-12,Cloud Storage,us-central1,Data,prod,15.24,cloudgaze-prod-99
2025-05-12,Kubernetes Engine,europe-west1,DevOps,prod,60.65,cloudgaze-prod-99
2025-05-12,Kubernetes Engine,europe-west1,DevOps,staging,26.99,cloudgaze-prod-99
2025-05-12,BigQuery,us-central1,Data,prod,33.5,cloudgaze-prod-99
2025-05-13,Compute Engine,us-central1,Backend,prod,40.79,cloudgaze-prod-99
2025-05-13,Compute Engine,us-central1,Backend,dev,11.61,cloudgaze-prod-99
2025-05-13,Cloud SQL,us-central1,Database,prod,47.21,cloudgaze-prod-99
2025-05-13,Cloud SQL,us-central1,Database,staging,17.61,cloudgaze-prod-99
2025-05-13,Cloud Storage,us-central1,Data,prod,16.42,cloudgaze-prod-99
2025-05-13,Kubernetes Engine,europe-west1,DevOps,prod,60.17,cloudgaze-prod-99
2025-05-13,Kubernetes Engine,europe-west1,DevOps,staging,23.54,cloudgaze-prod-99
2025-05-13,BigQuery,us-central1,Data,prod,18.05,cloudgaze-prod-99
2025-05-14,Compute Engine,us-central1,Backend,prod,40.92,cloudgaze-prod-99
2025-05-14,Compute Engine,us-central1,Backend,dev,10.24,cloudgaze-prod-99
2025-05-14,Cloud SQL,us-central1,Database,prod,50.69,cloudgaze-prod-99
2025-05-14,Cloud SQL,us-central1,Database,staging,20.91,cloudgaze-prod-99
2025-05-14,Cloud Storage,us-central1,Data,prod,14.37,cloudgaze-prod-99
2025-05-14,Kubernetes Engine,europe-west1,DevOps,prod,63.9,cloudgaze-prod-99
2025-05-14,Kubernetes Engine,europe-west1,DevOps,staging,25.86,cloudgaze-prod-99
2025-05-14,BigQuery,us-central1,Data,prod,12.05,cloudgaze-prod-99
2025-05-15,Compute Engine,us-central1,Backend,prod,46.03,cloudgaze-prod-99
2025-05-15,Compute Engine,us-central1,Backend,dev,14.21,cloudgaze-prod-99
2025-05-15,Cloud SQL,us-central1,Database,prod,49.27,cloudgaze-prod-99
2025-05-15,Cloud SQL,us-central1,Database,staging,20.07,cloudgaze-prod-99
2025-05-15,Cloud Storage,us-central1,Data,prod,15.05,cloudgaze-prod-99
2025-05-15,Kubernetes Engine,europe-west1,DevOps,prod,44.67,cloudgaze-prod-99
2025-05-15,Kubernetes Engine,europe-west1,DevOps,staging,20.89,cloudgaze-prod-99
2025-05-15,BigQuery,us-central1,Data,prod,8.18,cloudgaze-prod-99
2025-05-16,Compute Engine,us-central1,Backend,prod,40.27,cloudgaze-prod-99
2025-05-16,Compute Engine,us-central1,Backend,dev,10.89,cloudgaze-prod-99
2025-05-16,Cloud SQL,us-central1,Database,prod,54.2,cloudgaze-prod-99
2025-05-16,Cloud SQL,us-central1,Database,staging,18.91,cloudgaze-prod-99
2025-05-16,Cloud Storage,us-central1,Data,prod,14.97,cloudgaze-prod-99
2025-05-16,Kubernetes Engine,europe-west1,DevOps,prod,59.22,cloudgaze-prod-99
2025-05-16,Kubernetes Engine,europe-west1,DevOps,staging,23.68,cloudgaze-prod-99
2025-05-16,BigQuery,us-central1,Data,prod,36.39,cloudgaze-prod-99
2025-05-17,Compute Engine,us-central1,Backend,prod,40.11,cloudgaze-prod-99
2025-05-17,Compute Engine,us-central1,Backend,dev,13.17,cloudgaze-prod-99
2025-05-17,Cloud SQL,us-central1,Database,prod,49.35,cloudgaze-prod-99
2025-05-17,Cloud SQL,us-central1,Database,staging,22.47,cloudgaze-prod-99
2025-05-17,Cloud Storage,us-central1,Data,prod,14.78,cloudgaze-prod-99
2025-05-17,Kubernetes Engine,europe-west1,DevOps,prod,56.4,cloudgaze-prod-99
2025-05-17,Kubernetes Engine,europe-west1,DevOps,staging,22.18,cloudgaze-prod-99
2025-05-17,BigQuery,us-central1,Data,prod,25.47,cloudgaze-prod-99
2025-05-18,Compute Engine,us-central1,Backend,prod,36.3,cloudgaze-prod-99
2025-05-18,Compute Engine,us-central1,Backend,dev,12.01,cloudgaze-prod-99
2025-05-18,Cloud SQL,us-central1,Database,prod,47.36,cloudgaze-prod-99
2025-05-18,Cloud SQL,us-central1,Database,staging,20.31,cloudgaze-prod-99
2025-05-18,Cloud Storage,us-central1,Data,prod,14.06,cloudgaze-prod-99
2025-05-18,Kubernetes Engine,europe-west1,DevOps,prod,58.29,cloudgaze-prod-99
2025-05-18,Kubernetes Engine,europe-west1,DevOps,staging,32.9,cloudgaze-prod-99
2025-05-18,BigQuery,us-central1,Data,prod,21.62,cloudgaze-prod-99
2025-05-19,Compute Engine,us-central1,Backend,prod,46.34,cloudgaze-prod-99
2025-05-19,Compute Engine,us-central1,Backend,dev,9.96,cloudgaze-prod-99
2025-05-19,Cloud SQL,us-central1,Database,prod,48.43,cloudgaze-prod-99
2025-05-19,Cloud SQL,us-central1,Database,staging,20.9,cloudgaze-prod-99
2025-05-19,Cloud Storage,us-central1,Data,prod,15.53,cloudgaze-prod-99
2025-05-19,Kubernetes Engine,europe-west1,DevOps,prod,60.51,cloudgaze-prod-99
2025-05-19,Kubernetes Engine,europe-west1,DevOps,staging,24.39,cloudgaze-prod-99
2025-05-19,BigQuery,us-central1,Data,prod,33.86,cloudgaze-prod-99
2025-05-20,Compute Engine,us-central1,Backend,prod,45.07,cloudgaze-prod-99
2025-05-20,Compute Engine,us-central1,Backend,dev,11.26,cloudgaze-prod-99
2025-05-20,Cloud SQL,us-central1,Database,prod,49.51,cloudgaze-prod-99
2025-05-20,Cloud SQL,us-central1,Database,staging,21.65,cloudgaze-prod-99
2025-05-20,Cloud Storage,us-central1,Data,prod,15.11,cloudgaze-prod-99
2025-05-20,Kubernetes Engine,europe-west1,DevOps,prod,56.73,cloudgaze-prod-99
2025-05-20,Kubernetes Engine,europe-west1,DevOps,staging,24.53,cloudgaze-prod-99
2025-05-20,BigQuery,us-central1,Data,prod,19.55,cloudgaze-prod-99
2025-05-21,Compute Engine,us-central1,Backend,prod,38.94,cloudgaze-prod-99
2025-05-21,Compute Engine,us-central1,Backend,dev,10.55,cloudgaze-prod-99
2025-05-21,Cloud SQL,us-central1,Database,prod,51.1,cloudgaze-prod-99
2025-05-21,Cloud SQL,us-central1,Database,staging,20.46,cloudgaze-prod-99
2025-05-21,Cloud Storage,us-central1,Data,prod,15.58,cloudgaze-prod-99
2025-05-21,Kubernetes Engine,europe-west1,DevOps,prod,57.72,cloudgaze-prod-99
2025-05-21,Kubernetes Engine,europe-west1,DevOps,staging,29.03,cloudgaze-prod-99
2025-05-21,BigQuery,us-central1,Data,prod,38.89,cloudgaze-prod-99
2025-05-22,Compute Engine,us-central1,Backend,prod,39.04,cloudgaze-prod-99
2025-05-22,Compute Engine,us-central1,Backend,dev,9.84,cloudgaze-prod-99
2025-05-22,Cloud SQL,us-central1,Database,prod,52.28,cloudgaze-prod-99
2025-05-22,Cloud SQL,us-central1,Database,staging,17.61,cloudgaze-prod-99
2025-05-22,Cloud Storage,us-central1,Data,prod,12.64,cloudgaze-prod-99
2025-05-22,Kubernetes Engine,europe-west1,DevOps,prod,65.19,cloudgaze-prod-99
2025-05-22,Kubernetes Engine,europe-west1,DevOps,staging,20.41,cloudgaze-prod-99
